met,altitude_km,downrange_km,velocity_ms,g_force,dynamic_pressure_kpa,thrust_kn,pitch_deg,heading_deg
0.0,0.24,0.0,0.0,1.0,0.0,0.0,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.0,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.0,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.0,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.0,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.0,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.0,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.0,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.0,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.0,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.1,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.1,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.1,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.1,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.1,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.1,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.1,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.1,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.1,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.2,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.2,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.2,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.2,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.3,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.3,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.3,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.4,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.4,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.5,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.5,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.6,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.6,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.7,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.8,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.9,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,1.0,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,1.1,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,1.2,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,1.4,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,1.5,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,24.1,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,46.6,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,68.8,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,91.7,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,124.5,89.97,83.33
0.0,0.24,0.0,0.0,1.0,0.0,144.1,89.97,83.33
0.0,0.24,0.0,0.0,1.0,0.0,168.7,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,188.2,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,198.4,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,209.8,89.97,83.33
0.0,0.24,0.0,0.0,1.0,0.0,215.9,89.97,83.33
0.0,0.24,0.0,0.0,1.0,0.0,220.8,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,222.3,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,227.7,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,230.5,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,233.1,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,234.1,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,235.3,89.97,83.33
0.0,0.24,0.0,0.0,1.0,0.0,236.4,89.97,83.33
0.0,0.24,0.0,0.0,1.0,0.0,237.4,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,237.4,89.97,83.33
0.0,0.24,0.0,0.0,1.0,0.0,238.6,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,239.2,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,240.0,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,239.5,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,239.5,89.97,83.33
0.0,0.24,0.0,0.0,1.0,0.0,239.9,90.0,83.33
0.0,0.241,0.0,0.34,1.09,0.0,239.3,90.0,83.33
0.0,0.241,0.0,0.68,1.17,0.0,240.1,90.0,83.33
0.0,0.241,0.0,1.2,1.3,0.0,240.1,90.0,83.33
0.0,0.241,0.0,1.54,1.39,0.0,239.3,90.0,83.33
0.0,0.241,0.0,2.05,1.52,0.0,239.4,90.0,83.33
0.0,0.241,0.0,2.39,1.61,0.0,240.1,89.98,83.33
0.04,0.241,0.0,2.91,1.74,0.0,240.1,89.98,83.33
0.08,0.242,0.0,3.25,1.83,0.0,239.8,90.0,83.33
0.14,0.242,0.0,3.77,1.87,0.0,240.2,90.0,83.33
0.18,0.242,0.0,4.12,1.88,0.01,240.1,90.0,83.33
0.24,0.242,0.0,4.63,1.88,0.01,240.4,90.0,83.33
0.28,0.242,0.0,4.98,1.88,0.01,239.7,90.0,83.33
0.34,0.243,0.0,5.5,1.88,0.01,240.1,90.0,83.33
0.4,0.243,0.0,6.02,1.88,0.02,240.0,90.0,83.33
0.44,0.243,0.0,6.36,1.88,0.02,239.4,90.0,83.33
0.5,0.244,0.0,6.88,1.88,0.02,239.8,90.0,83.33
0.54,0.244,0.0,7.23,1.88,0.02,240.1,90.0,83.33
0.6,0.245,0.0,7.75,1.88,0.03,239.8,90.0,83.33
0.64,0.245,0.0,8.1,1.88,0.03,239.6,90.0,83.33
0.7,0.245,0.0,8.62,1.88,0.04,239.8,90.0,83.33
0.74,0.246,0.0,8.97,1.88,0.04,240.3,89.97,83.33
0.8,0.246,0.0,9.49,1.89,0.05,239.3,90.0,83.33
0.84,0.247,0.0,9.84,1.89,0.05,240.0,90.0,83.33
0.9,0.247,0.0,10.36,1.89,0.06,239.6,90.0,83.33
0.9,0.247,0.0,10.36,1.89,0.06,239.6,89.98,83.33
0.96,0.248,0.0,10.89,1.89,0.06,239.4,90.0,83.33
1.02,0.249,0.0,11.41,1.89,0.07,239.6,90.0,83.33
1.08,0.249,0.0,11.94,1.89,0.08,239.3,89.97,83.33
1.12,0.25,0.0,12.29,1.89,0.08,239.5,89.97,83.33
1.16,0.25,0.0,12.64,1.89,0.09,240.1,89.97,83.33
1.24,0.251,0.0,13.34,1.89,0.1,240.0,89.97,83.33
1.28,0.252,0.0,13.7,1.89,0.1,240.1,90.0,83.33
1.32,0.252,0.0,14.05,1.89,0.11,240.1,89.96,83.33
1.38,0.253,0.0,14.58,1.9,0.12,239.3,89.97,83.33
1.42,0.254,0.0,14.93,1.9,0.13,239.9,89.97,83.33
1.48,0.255,0.0,15.46,1.9,0.14,239.3,89.96,83.33
1.54,0.256,0.0,15.99,1.9,0.15,239.3,89.96,83.33
1.58,0.256,0.0,16.34,1.9,0.15,239.7,89.96,83.33
1.62,0.257,0.0,16.69,1.9,0.16,239.1,89.96,83.33
1.68,0.258,0.0,17.23,1.9,0.17,239.6,89.95,83.34
1.74,0.259,0.0,17.76,1.9,0.18,240.0,89.95,83.34
1.78,0.26,0.0,18.11,1.9,0.19,239.9,89.95,83.34
1.82,0.261,0.0,18.47,1.9,0.2,240.0,89.94,83.34
1.88,0.262,0.0,19.0,1.9,0.21,239.8,89.95,83.34
1.92,0.262,0.0,19.36,1.91,0.22,240.3,89.94,83.34
1.98,0.264,0.0,19.9,1.91,0.23,239.3,89.94,83.34
2.04,0.265,0.0,20.43,1.91,0.25,239.7,89.94,83.34
2.08,0.266,0.0,20.79,1.91,0.25,239.5,89.94,83.34
2.14,0.267,0.0,21.33,1.91,0.27,240.0,89.93,83.34
2.16,0.267,0.0,21.51,1.91,0.27,240.3,89.93,83.34
2.16,0.267,0.0,21.51,1.91,0.27,240.3,89.93,83.34
2.24,0.269,0.0,22.22,1.91,0.29,239.5,89.93,83.34
2.28,0.27,0.0,22.58,1.91,0.3,239.8,89.93,83.34
2.34,0.271,0.0,23.12,1.91,0.32,239.7,89.92,83.35
2.4,0.273,0.0,23.66,1.91,0.33,239.8,89.91,83.35
2.44,0.274,0.0,24.02,1.92,0.35,239.3,89.92,83.35
2.48,0.275,0.0,24.38,1.92,0.36,239.8,89.91,83.35
2.54,0.276,0.0,24.93,1.92,0.37,240.1,89.9,83.35
2.58,0.277,0.0,25.29,1.92,0.38,240.3,89.9,83.35
2.64,0.279,0.0,25.83,1.92,0.4,239.9,89.9,83.35
2.68,0.28,0.0,26.19,1.92,0.41,240.3,89.9,83.35
2.74,0.281,0.0,26.74,1.92,0.43,239.8,89.9,83.36
2.8,0.283,0.0,27.28,1.92,0.45,239.7,89.89,83.36
2.84,0.284,0.0,27.65,1.92,0.46,239.6,89.88,83.36
2.88,0.285,0.0,28.01,1.92,0.48,239.9,89.89,83.36
2.94,0.287,0.0,28.56,1.93,0.49,240.4,89.88,99.72
