met,altitude_km,downrange_km,velocity_ms,g_force,dynamic_pressure_kpa,thrust_kn,pitch_deg,heading_deg
0.0,0.24,0.0,0.0,1.0,0.0,0.0,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.0,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.0,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.0,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.0,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.0,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.0,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.0,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.0,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.0,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.1,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.1,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.1,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.1,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.1,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.1,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.1,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.1,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.1,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.2,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.2,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.2,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.2,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.2,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.3,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.3,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.4,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.4,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.4,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.5,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.5,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.6,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.7,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.8,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.8,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,1.0,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,1.0,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,1.2,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,1.3,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,1.5,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,16.6,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,38.7,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,57.5,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,91.6,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,124.8,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,144.2,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,161.0,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,181.9,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,198.5,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,206.1,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,212.9,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,220.2,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,225.6,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,228.5,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,231.8,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,233.4,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,234.2,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,236.1,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,236.5,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,237.5,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,237.7,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,239.0,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,239.5,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,239.6,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,239.2,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,239.7,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,239.6,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,239.4,90.0,83.33
0.0,0.241,0.0,0.0,1.0,0.0,239.2,89.98,83.33
0.0,0.241,0.0,0.34,1.09,0.0,238.7,90.0,83.33
0.0,0.241,0.0,0.68,1.17,0.0,239.7,90.0,83.33
0.0,0.241,0.0,1.19,1.3,0.0,239.4,90.0,83.33
0.0,0.241,0.0,1.71,1.44,0.0,238.8,90.0,83.33
0.0,0.241,0.0,2.05,1.52,0.0,239.1,90.0,83.33
0.0,0.241,0.0,2.56,1.65,0.0,239.0,90.0,83.33
0.04,0.241,0.0,2.9,1.74,0.0,238.9,90.0,83.33
0.1,0.242,0.0,3.42,1.87,0.0,239.1,89.97,83.33
0.14,0.242,0.0,3.76,1.87,0.0,239.0,90.0,83.33
0.2,0.242,0.0,4.28,1.87,0.01,238.9,90.0,83.33
0.24,0.242,0.0,4.62,1.87,0.01,239.1,90.0,83.33
0.3,0.243,0.0,5.14,1.87,0.01,239.7,90.0,83.33
0.34,0.243,0.0,5.48,1.88,0.01,239.2,90.0,83.33
0.4,0.243,0.0,6.0,1.88,0.02,238.9,90.0,83.33
0.44,0.243,0.0,6.34,1.88,0.02,239.1,90.0,83.33
0.5,0.244,0.0,6.86,1.88,0.02,239.0,90.0,83.33
0.56,0.244,0.0,7.38,1.88,0.03,238.9,90.0,83.33
0.6,0.244,0.0,7.73,1.88,0.03,239.2,90.0,83.33
0.66,0.245,0.0,8.25,1.88,0.03,239.3,90.0,83.33
0.7,0.245,0.0,8.6,1.88,0.04,239.2,90.0,83.33
0.74,0.246,0.0,8.94,1.88,0.04,239.5,89.98,83.33
0.8,0.246,0.0,9.46,1.88,0.05,239.1,89.97,83.33
0.86,0.247,0.0,9.99,1.88,0.05,238.9,89.98,83.33
0.9,0.247,0.0,10.33,1.89,0.06,239.1,90.0,83.33
0.9,0.247,0.0,10.33,1.89,0.06,239.1,89.97,83.33
0.96,0.248,0.0,10.86,1.89,0.06,239.0,90.0,83.33
1.02,0.249,0.0,11.38,1.89,0.07,239.8,90.0,83.33
1.08,0.249,0.0,11.91,1.89,0.08,239.2,89.98,83.33
1.12,0.25,0.0,12.26,1.89,0.08,239.6,90.0,83.33
1.18,0.25,0.0,12.78,1.89,0.09,239.4,90.0,83.33
1.22,0.251,0.0,13.13,1.89,0.1,239.1,89.97,83.33
1.26,0.252,0.0,13.48,1.89,0.1,239.4,90.0,83.33
1.32,0.252,0.0,14.01,1.89,0.11,239.7,90.0,83.33
1.38,0.253,0.0,14.54,1.89,0.12,239.0,89.97,83.33
1.42,0.254,0.0,14.89,1.89,0.13,239.8,89.96,83.33
1.46,0.254,0.0,15.24,1.9,0.13,239.4,89.98,83.33
1.52,0.255,0.0,15.78,1.9,0.14,239.2,89.97,83.33
1.58,0.256,0.0,16.31,1.9,0.15,239.3,89.97,83.33
1.62,0.257,0.0,16.66,1.9,0.16,239.4,89.96,83.33
1.68,0.258,0.0,17.19,1.9,0.17,239.3,89.96,83.33
1.72,0.259,0.0,17.55,1.9,0.18,239.0,89.96,83.33
1.78,0.26,0.0,18.08,1.9,0.19,239.0,89.96,83.33
1.82,0.261,0.0,18.43,1.9,0.2,239.3,89.95,83.33
1.88,0.262,0.0,18.97,1.9,0.21,239.1,89.96,83.33
1.92,0.262,0.0,19.32,1.9,0.22,239.2,89.95,83.33
1.98,0.264,0.0,19.86,1.91,0.23,239.6,89.95,83.34
2.02,0.264,0.0,20.21,1.91,0.24,239.6,89.95,83.34
2.08,0.266,0.0,20.75,1.91,0.25,239.4,89.95,83.34
2.12,0.266,0.0,21.11,1.91,0.26,239.2,89.94,83.34
2.18,0.268,0.0,21.64,1.91,0.28,239.2,89.94,83.34
2.24,0.269,0.0,22.18,1.91,0.29,239.3,89.93,83.34
2.28,0.27,0.0,22.54,1.91,0.3,239.2,89.94,83.34
2.32,0.271,0.0,22.9,1.91,0.31,239.0,89.93,83.34
2.38,0.272,0.0,23.44,1.91,0.33,239.1,89.93,83.34
2.42,0.273,0.0,23.8,1.91,0.34,239.5,89.92,83.34
2.48,0.275,0.0,24.34,1.91,0.35,239.4,89.92,83.34
2.54,0.276,0.0,24.88,1.92,0.37,239.7,89.92,83.35
2.58,0.277,0.0,25.24,1.92,0.38,239.6,89.92,83.35
2.64,0.279,0.0,25.78,1.92,0.4,239.0,89.92,83.35
2.68,0.28,0.0,26.14,1.92,0.41,239.4,89.91,83.35
2.72,0.281,0.0,26.51,1.92,0.42,239.4,89.91,83.35
2.78,0.282,0.0,27.05,1.92,0.44,239.7,89.9,83.35
2.84,0.284,0.0,27.59,1.92,0.46,239.7,89.9,83.36
2.88,0.285,0.0,27.96,1.92,0.47,239.7,89.9,83.36
