met,altitude_km,downrange_km,velocity_ms,g_force,dynamic_pressure_kpa,thrust_kn,pitch_deg,heading_deg
0.0,0.24,0.0,0.0,1.0,0.0,0.0,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.0,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.0,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.0,89.98,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.0,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.0,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.0,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.0,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.0,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.0,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.0,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.0,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.1,89.97,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.1,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.1,89.98,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.1,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.1,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.1,89.98,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.1,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.1,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.1,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.2,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.2,89.98,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.2,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.2,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.3,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.3,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.3,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.4,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.4,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.4,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.5,89.97,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.5,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.6,89.98,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.7,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.8,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.8,89.97,83.33
0.0,0.24,0.0,0.0,1.0,0.0,1.0,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,1.1,89.98,83.33
0.0,0.24,0.0,0.0,1.0,0.0,1.2,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,1.4,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,1.5,89.98,83.33
0.0,0.24,0.0,0.0,1.0,0.0,24.1,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,38.8,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,69.1,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,91.9,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,125.2,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,144.5,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,169.9,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,182.8,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,198.8,89.97,83.33
0.0,0.24,0.0,0.0,1.0,0.0,207.0,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,216.9,89.98,83.33
0.0,0.24,0.0,0.0,1.0,0.0,221.3,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,226.6,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,229.7,89.97,83.33
0.0,0.24,0.0,0.0,1.0,0.0,232.6,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,234.2,89.98,83.33
0.0,0.24,0.0,0.0,1.0,0.0,235.5,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,236.9,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,237.6,89.98,83.33
0.0,0.24,0.0,0.0,1.0,0.0,238.0,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,239.4,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,240.5,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,239.7,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,240.2,89.98,83.33
0.0,0.24,0.0,0.0,1.0,0.0,240.3,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,239.8,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,240.3,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,239.8,89.97,83.33
0.0,0.24,0.0,0.0,1.0,0.0,240.4,90.0,83.33
0.0,0.241,0.0,0.0,1.0,0.0,240.2,90.0,83.33
0.0,0.241,0.0,0.35,1.09,0.0,240.7,90.0,83.33
0.0,0.241,0.0,0.69,1.18,0.0,240.4,90.0,83.33
0.0,0.241,0.0,1.21,1.31,0.0,240.0,90.0,83.33
0.0,0.241,0.0,1.72,1.44,0.0,240.1,90.0,83.33
0.0,0.241,0.0,2.07,1.53,0.0,240.2,90.0,83.33
0.0,0.241,0.0,2.59,1.66,0.0,239.9,90.0,83.33
0.04,0.241,0.0,2.93,1.75,0.0,240.3,90.0,83.33
0.1,0.242,0.0,3.45,1.88,0.0,240.0,90.0,83.33
0.16,0.242,0.0,3.97,1.88,0.01,240.1,90.0,83.33
0.2,0.242,0.0,4.32,1.88,0.01,240.7,90.0,83.33
0.26,0.242,0.0,4.84,1.88,0.01,239.8,90.0,83.33
0.3,0.243,0.0,5.18,1.88,0.01,239.7,90.0,83.33
0.36,0.243,0.0,5.71,1.88,0.01,240.3,90.0,83.33
0.4,0.243,0.0,6.06,1.88,0.02,240.6,90.0,83.33
0.46,0.244,0.0,6.58,1.89,0.02,240.1,90.0,83.33
0.5,0.244,0.0,6.93,1.89,0.02,240.6,90.0,83.33
0.56,0.244,0.0,7.45,1.89,0.03,240.2,90.0,83.33
0.6,0.245,0.0,7.8,1.89,0.03,240.2,90.0,83.33
0.66,0.245,0.0,8.33,1.89,0.03,240.1,90.0,83.33
0.7,0.245,0.0,8.68,1.89,0.04,240.2,90.0,83.33
0.76,0.246,0.0,9.21,1.89,0.04,240.7,90.0,83.33
0.8,0.246,0.0,9.56,1.89,0.05,240.2,89.97,83.33
0.86,0.247,0.0,10.08,1.89,0.05,239.9,90.0,83.33
0.9,0.247,0.0,10.44,1.89,0.06,240.4,90.0,83.33
0.96,0.248,0.0,10.96,1.9,0.06,240.0,90.0,83.33
1.0,0.248,0.0,11.32,1.9,0.07,240.5,90.0,83.33
1.06,0.249,0.0,11.85,1.9,0.08,240.3,90.0,83.33
1.1,0.25,0.0,12.2,1.9,0.08,240.5,90.0,83.33
1.16,0.25,0.0,12.73,1.9,0.09,240.0,89.97,83.33
1.2,0.251,0.0,13.08,1.9,0.09,240.7,89.97,83.33
1.26,0.252,0.0,13.62,1.9,0.1,240.3,90.0,83.33
1.3,0.252,0.0,13.97,1.9,0.11,240.4,89.97,83.33
1.36,0.253,0.0,14.5,1.9,0.12,240.1,90.0,83.33
1.4,0.254,0.0,14.86,1.9,0.12,240.6,89.97,83.33
1.46,0.255,0.0,15.39,1.9,0.13,240.4,89.96,83.33
1.5,0.255,0.0,15.75,1.9,0.14,240.2,89.97,83.33
1.56,0.256,0.0,16.28,1.91,0.15,240.2,89.97,83.33
1.6,0.257,0.0,16.64,1.91,0.16,240.7,89.97,83.33
1.66,0.258,0.0,17.18,1.91,0.17,240.1,89.96,83.33
1.72,0.259,0.0,17.71,1.91,0.18,239.9,89.96,83.33
1.76,0.26,0.0,18.07,1.91,0.19,240.8,89.96,83.33
1.8,0.26,0.0,18.43,1.91,0.2,240.5,89.95,83.33
1.86,0.261,0.0,18.97,1.91,0.21,240.1,89.94,83.33
1.92,0.263,0.0,19.51,1.91,0.22,240.8,89.94,83.34
1.96,0.263,0.0,19.87,1.91,0.23,240.3,89.95,83.34
2.02,0.265,0.0,20.41,1.91,0.24,240.6,89.94,83.34
2.06,0.265,0.0,20.77,1.92,0.25,240.1,89.94,83.34
2.1,0.266,0.0,21.13,1.92,0.26,240.0,89.94,83.34
2.16,0.268,0.0,21.67,1.92,0.28,239.8,89.93,83.34
2.22,0.269,0.0,22.21,1.92,0.29,240.7,89.94,83.34
2.26,0.27,0.0,22.58,1.92,0.3,240.4,89.93,83.34
2.32,0.271,0.0,23.12,1.92,0.32,240.7,89.92,83.34
2.36,0.272,0.0,23.48,1.92,0.33,240.0,89.93,83.34
2.42,0.274,0.0,24.02,1.92,0.34,240.0,89.92,83.34
2.46,0.275,0.0,24.39,1.92,0.36,240.3,89.92,83.34
2.52,0.276,0.0,24.93,1.92,0.37,240.5,89.92,83.35
2.56,0.277,0.0,25.3,1.92,0.38,240.6,89.91,83.35
2.62,0.279,0.0,25.85,1.93,0.4,240.7,89.91,83.35
2.66,0.28,0.0,26.21,1.93,0.41,240.5,89.91,83.35
2.72,0.281,0.0,26.76,1.93,0.43,240.1,89.91,83.35
2.78,0.283,0.0,27.31,1.93,0.45,240.5,89.9,83.35
