met,altitude_km,downrange_km,velocity_ms,g_force,dynamic_pressure_kpa,thrust_kn,pitch_deg,heading_deg
0.0,0.24,0.0,0.0,1.0,0.0,0.0,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.0,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.0,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.0,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.0,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.0,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.0,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.0,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.0,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.1,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.1,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.1,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.1,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.1,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.1,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.1,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.1,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.1,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.2,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.2,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.2,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.2,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.3,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.3,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.3,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.4,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.4,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.5,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.5,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.6,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.6,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.7,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.8,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,0.8,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,1.0,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,1.1,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,1.2,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,1.4,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,1.5,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,24.1,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,24.1,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,57.5,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,91.9,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,114.2,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,144.6,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,161.4,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,182.5,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,193.7,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,206.6,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,215.9,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,221.0,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,225.8,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,228.9,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,232.1,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,233.2,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,234.8,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,236.4,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,236.6,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,237.6,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,237.8,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,239.7,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,239.6,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,239.6,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,239.9,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,239.6,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,239.4,90.0,83.33
0.0,0.24,0.0,0.0,1.0,0.0,239.8,90.0,83.33
0.0,0.241,0.0,0.0,1.0,0.0,240.1,90.0,83.33
0.0,0.241,0.0,0.51,1.13,0.0,239.7,90.0,83.33
0.0,0.241,0.0,0.86,1.22,0.0,239.9,90.0,83.33
0.0,0.241,0.0,1.37,1.35,0.0,239.9,90.0,83.33
0.0,0.241,0.0,1.71,1.44,0.0,239.8,90.0,83.33
0.0,0.241,0.0,2.23,1.57,0.0,239.2,90.0,83.33
0.02,0.241,0.0,2.75,1.7,0.0,240.2,89.97,83.33
0.06,0.242,0.0,3.09,1.79,0.0,239.2,90.0,83.33
0.12,0.242,0.0,3.61,1.88,0.0,239.4,90.0,83.33
0.18,0.242,0.0,4.12,1.88,0.01,239.9,90.0,83.33
0.22,0.242,0.0,4.47,1.88,0.01,240.1,89.98,83.33
0.28,0.242,0.0,4.99,1.88,0.01,239.5,90.0,83.33
0.32,0.243,0.0,5.33,1.88,0.01,239.7,90.0,83.33
0.36,0.243,0.0,5.68,1.88,0.01,239.8,90.0,83.33
0.42,0.243,0.0,6.2,1.88,0.02,239.5,90.0,83.33
0.46,0.244,0.0,6.55,1.88,0.02,240.2,90.0,83.33
0.52,0.244,0.0,7.07,1.88,0.02,239.6,90.0,83.33
0.58,0.244,0.0,7.59,1.88,0.03,240.3,90.0,83.33
0.62,0.245,0.0,7.94,1.88,0.03,240.0,90.0,83.33
0.66,0.245,0.0,8.29,1.89,0.03,240.1,90.0,83.33
0.72,0.246,0.0,8.81,1.89,0.04,240.1,90.0,83.33
0.78,0.246,0.0,9.33,1.89,0.04,239.6,90.0,83.33
0.82,0.246,0.0,9.68,1.89,0.05,239.9,90.0,83.33
0.88,0.247,0.0,10.21,1.89,0.05,239.4,89.97,83.33
0.9,0.247,0.0,10.38,1.89,0.06,239.8,90.0,83.33
0.9,0.247,0.0,10.38,1.89,0.06,239.1,89.97,83.33
0.98,0.248,0.0,11.08,1.89,0.07,239.7,89.97,83.33
1.02,0.249,0.0,11.43,1.89,0.07,239.2,89.97,83.33
1.08,0.249,0.0,11.96,1.89,0.08,240.1,90.0,83.33
1.12,0.25,0.0,12.31,1.89,0.08,239.8,90.0,83.33
1.18,0.251,0.0,12.84,1.89,0.09,239.8,90.0,83.33
1.24,0.251,0.0,13.37,1.89,0.1,239.9,89.97,83.33
1.28,0.252,0.0,13.72,1.9,0.1,240.0,90.0,83.33
1.34,0.253,0.0,14.25,1.9,0.11,240.1,89.97,83.33
1.38,0.253,0.0,14.6,1.9,0.12,239.3,89.98,83.33
1.42,0.254,0.0,14.96,1.9,0.13,240.0,89.96,83.33
1.48,0.255,0.0,15.49,1.9,0.14,239.9,89.96,83.33
1.52,0.255,0.0,15.84,1.9,0.14,240.1,89.97,83.34
1.58,0.256,0.0,16.37,1.9,0.15,239.8,89.97,83.34
1.64,0.257,0.0,16.91,1.9,0.16,239.8,89.96,83.34
1.68,0.258,0.0,17.26,1.9,0.17,239.7,89.97,83.34
1.74,0.259,0.0,17.8,1.9,0.18,240.2,89.96,83.34
1.78,0.26,0.0,18.15,1.91,0.19,239.7,89.96,83.34
1.84,0.261,0.0,18.69,1.91,0.2,240.0,89.95,83.34
1.9,0.262,0.0,19.22,1.91,0.22,239.5,89.94,83.34
1.94,0.263,0.0,19.58,1.91,0.22,240.1,89.93,83.34
1.98,0.264,0.0,19.94,1.91,0.23,239.9,89.94,83.34
2.04,0.265,0.0,20.48,1.91,0.25,240.0,89.94,83.34
2.08,0.266,0.0,20.84,1.91,0.26,239.7,89.94,83.34
2.14,0.267,0.0,21.38,1.91,0.27,239.9,89.93,83.34
2.2,0.268,0.0,21.91,1.91,0.28,240.1,89.93,83.34
2.24,0.269,0.0,22.27,1.91,0.29,240.1,89.93,83.35
2.28,0.27,0.0,22.63,1.91,0.3,239.8,89.92,83.35
2.34,0.272,0.0,23.17,1.92,0.32,240.2,89.92,83.35
2.38,0.272,0.0,23.54,1.92,0.33,239.9,89.92,83.35
2.44,0.274,0.0,24.08,1.92,0.35,240.2,89.91,83.35
2.5,0.275,0.0,24.62,1.92,0.36,239.8,89.91,83.35
2.54,0.276,0.0,24.98,1.92,0.37,240.3,89.9,83.35
2.6,0.278,0.0,25.53,1.92,0.39,240.4,89.91,83.35
2.64,0.279,0.0,25.89,1.92,0.4,239.8,89.9,83.36
2.68,0.28,0.0,26.25,1.92,0.42,239.5,89.9,83.36
2.74,0.282,0.0,26.8,1.92,0.43,239.5,89.89,83.36
2.8,0.283,0.0,27.34,1.92,0.45,240.0,89.89,83.36
2.84,0.284,0.0,27.71,1.92,0.46,239.7,89.88,83.36
2.9,0.286,0.0,28.25,1.93,0.48,239.5,89.88,98.77
2.94,0.287,0.0,28.62,1.93,0.5,240.2,89.88,99.19
